Mass,2h300K,2h500K,2h700K,2h1000K
0.51,3.179596714226256,0,0,0
0.714,2.497454657096898,11.84570441501634,0,0
1.02,2.2221741762157627,4.4495198207693845,443.47522773917206,0
1.53,2.1176969625495503,3.1354144956172787,5.941270879084652,0
2.04,2.1131663129853218,2.8032631471773617,4.120162642441947,15.014996532965222
3.06,2.1645152259877314,2.6104740235957693,3.2657094991806095,5.425294326437445
4.08,2.230393362783648,2.572948795721699,3.0247003196942064,4.23181425378653
5.1,2.294585803035307,2.5782790276553467,2.931193097082883,3.7923791181640327
8.16,2.4604697525140256,2.656436803044732,2.8835508473794875,3.38566803786616
10.2,2.5507856434781546,2.716315887289918,2.905484378445967,3.313735433119948
12.24,2.629819505725555,2.7743788493788686,2.9387854547336363,3.288940169303349
16.32,2.762903374076181,2.8800974343181163,3.013317972004725,3.2942284139656173
20.4,2.872491456375657,2.9724076331054916,3.086315402170985,3.326559473829986
32.64,3.1129815511070986,3.1845633944414153,3.267758738043484,3.4438610506838665
65.28,3.4720359263946174,3.5172130017050196,3.5706182116029006,3.6757617430236262
