Mass,5H_300K,5H_500K,5H_700K
1.575,0,10.241011234735149,0
2.1,0,6.181790219079745,22.293116062302673
3.15,286.6506418951328,4.571527803799712,7.151683818301528
4.2,13.073067760525221,4.126632902779335,5.481794615622968
5.25,8.46959611577167,3.9424008076874637,4.872930036723857
8.4,5.727069077708938,3.795017702461986,4.299988398612834
10.5,5.244056467917578,3.794487537465026,4.192530390360936
12.6,4.995323014679926,3.815349185524692,4.148744819274913
16.8,4.761003628296415,3.8790179493565957,4.137888118411208
21.,4.665927853642895,3.949492234467828,4.165842065146219
33.6,4.605057363159339,4.138576080855962,4.289790732847135
67.2,4.694815876408184,4.447447012362901,4.530705124600427
