Mass,1H_300K,01H_300K,1H_500K,01H_500K,1H_300K_50H2O,01H_300K_50H2O,1H_500K_50H2O,01H_500K_50H2O
0.5,2.1626293261848573,1.4737350628780996,21.71540533682922,3.0830299447067886,2.9713605576353346,2.0727594187219345,0,6.584178643108606
0.7,1.8926443244110733,1.4112769116133232,4.433542826132972,2.2216747970731627,2.4486184491580794,1.9040743161300246,8.175572960962306,3.526863958677729
1,1.7845437029326268,1.405908118947677,2.9040765502173795,1.9003087794583038,2.232651377114951,1.8450544988250435,4.107721136026962,2.712766850554703
1.5,1.7662743870107729,1.4453945213804797,2.386793636334748,1.7690512201792774,2.16226936479745,1.8590263992263354,3.0967481929222664,2.3862272279974115
2,1.7949489904400544,1.4961972122167075,2.247126143888619,1.749144773706734,2.1749349158707845,1.90394688556194,2.8298774258079153,2.3024199211419543
3,1.872638690594178,1.5898178363254667,2.1851527791439236,1.776536592745366,2.247443280164715,2.0013957270007907,2.6857462479131735,2.286488025249505
4,1.948529536628363,1.6698983644670389,2.197366245052597,1.8237140749777483,2.3294448278179494,2.092011470896186,2.6743917094912506,2.323592226581249
5,2.0172077043762595,1.7389294851161747,2.228346100890291,1.8724104928848588,2.4065544824936635,2.172215633033903,2.6978958352711877,2.3715349904153915
8,2.1860700217676743,1.902500272816748,2.3386395013534016,2.003176605326997,2.6009965813657203,2.3657001315573205,2.8116565476230284,2.5142156113236926
10,2.2752936434175965,1.986843654971133,2.406602376581557,2.075263541751065,2.7061318968719843,2.4676032281538407,2.888396072619425,2.597643780909255
12,2.352627747463517,2.059381450060907,2.468873045449719,2.1390460460369587,2.7974441616281966,2.555215425695863,2.959747650973457,2.6721292765969413
16,2.4817538937531656,2.179623275360363,2.577594933767288,2.2473362135376096,2.9505824494710065,2.7008812085604164,3.085980401586948,2.799976689598611
20,2.5875612760509057,2.2775987945502782,2.669973027051548,2.3373518946879566,3.075439602999747,2.818699020466544,3.1929726498193722,2.9059202426949633
32,2.818171575965772,2.4886502364151397,2.8777147807621772,2.5342872434728005,3.3497292190162704,3.074989408399541,3.436024016851151,3.1414774293217596
64,3.1582093167011793,2.7937598879389696,3.1944087713058495,2.8232644895615167,3.753522019484529,3.4445812279240915,3.8059264861919506,3.488111031148214
